playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,ASNextYear
rosepe01,1973,160,680.0,115.0,230.0,36.0,8.0,5.0,64.0,10.0,65.0,42.0,6.0,1.0
rudijo01,1973,120,437.0,53.0,118.0,25.0,1.0,12.0,66.0,0.0,30.0,72.0,4.0,0.0
russebi01,1973,162,615.0,55.0,163.0,26.0,3.0,4.0,56.0,15.0,34.0,63.0,20.0,0.0
sanguma01,1973,149,589.0,64.0,166.0,26.0,7.0,12.0,65.0,2.0,17.0,29.0,8.0,0.0
santoro01,1973,149,536.0,65.0,143.0,29.0,2.0,20.0,77.0,1.0,63.0,97.0,8.0,0.0
schaapa01,1973,121,396.0,61.0,114.0,14.0,3.0,8.0,42.0,5.0,63.0,45.0,0.0,0.0
scheiri01,1973,77,229.0,28.0,75.0,10.0,2.0,3.0,21.0,0.0,35.0,27.0,6.0,0.0
schmimi01,1973,132,367.0,43.0,72.0,11.0,0.0,18.0,52.0,8.0,62.0,136.0,3.0,0.0
scottge02,1973,158,604.0,98.0,185.0,30.0,4.0,24.0,107.0,9.0,61.0,94.0,6.0,0.0
simmote01,1973,161,619.0,62.0,192.0,36.0,2.0,13.0,91.0,2.0,61.0,47.0,15.0,0.0
simsdu01,1973,80,252.0,31.0,61.0,10.0,0.0,8.0,30.0,1.0,30.0,36.0,1.0,0.0
singlke01,1973,162,560.0,100.0,169.0,26.0,2.0,23.0,103.0,2.0,123.0,91.0,13.0,0.0
sizemte01,1973,142,521.0,69.0,147.0,22.0,1.0,1.0,54.0,6.0,68.0,34.0,0.0,0.0
smithre06,1973,115,423.0,79.0,128.0,23.0,2.0,21.0,69.0,3.0,68.0,49.0,7.0,0.0
speiech01,1973,153,542.0,58.0,135.0,17.0,4.0,11.0,71.0,4.0,66.0,69.0,4.0,0.0
spencji01,1973,102,352.0,35.0,94.0,12.0,3.0,4.0,43.0,0.0,34.0,41.0,6.0,0.0
spikech01,1973,140,506.0,68.0,120.0,12.0,3.0,23.0,73.0,5.0,45.0,103.0,1.0,0.0
stanlmi01,1973,157,602.0,81.0,147.0,23.0,5.0,17.0,57.0,0.0,48.0,65.0,4.0,0.0
